Comment,Designator,Footprint,LCSC Part #
0,R179 R180,R1206,
0.01,C58 C61 C62 C63 C65 C66 C67 C68 C69 C70 C71 C72 C73 C74 C75 C76 C77 C78 C80 C84 C85 C86 C87 C89 C90 C91 C92 C93 C95 C96 C97 C99 C100 C102 C103 C107 C109 C111 C112 C114 C115 C117 C119 C121 C122 C124 C126 C127 C128 C129 C130 C131 C132 C133 C134 C135 C136 C137 C138 C139 C141 C142 C143 C144 C145 C146 C147 C148 C149 C151 C153 C155 C156 C157 C159 C160 C161 C162 C163 C164 C166 C167 C168 C169 C170 C171 C174 C175 C176 C177 C179 C181 C182 C184 C185 C186 C189 C194 C195 C196 C197 C198 C199 C201 C202 C203 C204 C205 C206 C207 C208 C209 C210 C211 C212 C213 C215,C1206,
0.001,C40 C55 C59 C64 C79 C81 C82 C83 C88 C94 C98 C105 C106 C108 C113 C116 C118 C120 C123 C125 C140 C150 C152 C154 C158 C165 C172 C173 C180 C183 C187 C188 C190 C200 C216,C1206,
1.5pF,C217 C218 C219 C220,C1206,
2.2,R63,R1206,
10,R46 R47 R139 R140 R145,R1206,
10k,R105 R113,R1206,
10pF,C26 C178,C1206,
18,R108,R1206,
22,R144 R158 R159 R160 R161 R171 R173 R174 R175 R176 R177,R1206,
27,R12 R65,R1206,
33pF,C25 C101 C104,C1206,
39,R93 R157 R181 R182 R183,R1206,
47,R58,R2010,
47,R61 R62 R77,R1206,
47,R83,R2010,
47,R114 R131 R154 R156,R1206,
100,R104 R126 R143 R151,R1206,
220,R68 R81 R103 R109 R119 R125 R152 R164 R165 R168 R172 R178,R1206,
330,R42 R44 R45 R167,R1206,
470,R66 R69 R71 R141,R1206,
470pF,C60,C1206,
1000,R75 R76 R87 R88 R91 R99 R106 R128 R129 R132 R133 R134 R142 R146 R147 R148 R149 R150,R1206,
3300,R31 R41 R67 R70 R73 R74 R78 R79 R80 R82 R84 R85 R86 R89 R90 R92 R94 R95 R96 R97 R100 R111 R112 R115 R116 R117 R118 R120 R121 R124 R127 R130 R135 R138 R153 R155 R162 R163 R166 R169,R1206,
