Designator,Mid X,Mid Y,Layer,Rotation
C25,366.90,196.22,Bottom,180.0
C26,372.36,196.22,Bottom,0.0
C40,105.41,100.33,Bottom,180.0
C55,289.81,45.47,Bottom,270.0
C58,331.60,268.35,Bottom,270.0
C59,319.28,285.37,Bottom,90.0
C60,316.23,279.78,Bottom,270.0
C61,316.23,285.37,Bottom,270.0
C62,311.15,279.78,Bottom,270.0
C63,331.60,273.94,Bottom,90.0
C64,340.49,274.96,Bottom,180.0
C65,311.15,256.79,Bottom,90.0
C66,137.16,135.89,Bottom,90.0
C67,298.83,256.67,Bottom,90.0
C68,290.07,256.03,Bottom,270.0
C69,286.38,263.14,Bottom,90.0
C70,286.38,256.03,Bottom,270.0
C71,266.83,251.59,Bottom,0.0
C72,259.97,262.76,Bottom,90.0
C73,246.76,256.79,Bottom,90.0
C74,257.81,257.81,Bottom,90.0
C75,254.64,257.81,Bottom,90.0
C76,252.09,257.81,Bottom,90.0
C77,246.38,248.79,Bottom,0.0
C78,228.09,264.41,Bottom,90.0
C79,217.17,259.08,Bottom,270.0
C80,214.63,254.00,Bottom,90.0
C81,220.34,254.00,Bottom,90.0
C82,200.53,237.49,Bottom,90.0
C83,192.41,232.54,Bottom,270.0
C84,180.85,237.36,Bottom,270.0
C85,372.11,235.46,Bottom,0.0
C86,350.01,239.14,Bottom,270.0
C87,339.22,240.28,Bottom,90.0
C88,335.53,243.59,Bottom,0.0
C89,312.42,241.30,Bottom,0.0
C90,326.14,232.03,Bottom,90.0
C91,307.34,246.38,Bottom,90.0
C92,286.89,240.41,Bottom,270.0
C93,273.18,232.28,Bottom,270.0
C94,273.43,248.16,Bottom,270.0
C95,263.14,241.05,Bottom,180.0
C96,253.87,240.03,Bottom,270.0
C97,240.67,230.89,Bottom,90.0
C98,236.86,245.11,Bottom,270.0
C99,236.86,238.76,Bottom,90.0
C100,194.95,41.53,Bottom,270.0
C101,209.68,230.76,Bottom,90.0
C102,220.98,233.30,Bottom,0.0
C103,213.23,247.40,Bottom,90.0
C104,237.24,224.28,Bottom,270.0
C105,188.59,243.08,Bottom,270.0
C106,180.85,243.46,Bottom,90.0
C107,164.59,244.60,Bottom,270.0
C108,160.40,244.60,Bottom,270.0
C109,158.24,218.82,Bottom,90.0
C111,341.38,219.96,Bottom,270.0
C112,297.94,223.90,Bottom,270.0
C113,294.64,207.26,Bottom,90.0
C114,294.64,212.47,Bottom,270.0
C115,264.80,200.66,Bottom,270.0
C116,262.25,200.66,Bottom,270.0
C117,255.27,204.47,Bottom,90.0
C118,249.30,201.80,Bottom,270.0
C119,233.05,218.95,Bottom,180.0
C120,227.46,200.91,Bottom,90.0
C121,225.30,200.91,Bottom,90.0
C122,212.47,218.06,Bottom,270.0
C123,210.19,218.06,Bottom,270.0
C124,208.79,201.68,Bottom,90.0
C125,206.50,201.68,Bottom,90.0
C126,176.53,200.66,Bottom,270.0
C127,166.12,188.59,Bottom,270.0
C128,155.96,203.45,Bottom,90.0
C129,136.53,212.73,Bottom,90.0
C130,136.53,206.50,Bottom,270.0
C131,25.40,199.39,Bottom,270.0
C132,363.73,190.63,Bottom,180.0
C133,360.68,181.61,Bottom,180.0
C134,335.92,183.52,Bottom,90.0
C135,245.11,183.64,Bottom,90.0
C136,222.89,186.94,Bottom,270.0
C137,222.00,168.28,Bottom,90.0
C138,195.71,192.53,Bottom,270.0
C139,184.40,183.26,Bottom,270.0
C140,184.40,176.91,Bottom,90.0
C141,170.94,185.17,Bottom,270.0
C142,177.17,183.26,Bottom,270.0
C143,25.40,177.80,Bottom,270.0
C144,367.67,160.27,Bottom,180.0
C145,370.08,154.31,Bottom,0.0
C146,335.92,163.32,Bottom,90.0
C147,245.11,163.20,Bottom,90.0
C148,222.00,154.43,Bottom,90.0
C149,226.19,147.45,Bottom,270.0
C150,194.69,159.26,Bottom,270.0
C151,183.64,166.12,Bottom,270.0
C152,176.53,165.86,Bottom,90.0
C153,170.18,157.48,Bottom,90.0
C154,166.12,149.35,Bottom,90.0
C155,25.40,164.47,Bottom,270.0
C156,335.92,139.70,Bottom,90.0
C157,245.11,139.70,Bottom,90.0
C158,216.03,129.79,Bottom,90.0
C159,216.53,111.76,Bottom,90.0
C160,204.47,129.54,Bottom,90.0
C161,186.06,143.51,Bottom,0.0
C162,175.13,124.59,Bottom,90.0
C163,137.16,144.78,Bottom,270.0
C164,307.09,257.68,Bottom,90.0
C165,62.36,118.49,Bottom,90.0
C166,335.92,119.38,Bottom,90.0
C167,340.11,104.01,Bottom,90.0
C168,327.66,102.36,Bottom,90.0
C169,287.66,105.92,Bottom,90.0
C170,253.37,102.36,Bottom,90.0
C171,245.11,119.38,Bottom,90.0
C172,201.93,113.03,Bottom,180.0
C173,203.33,102.36,Bottom,90.0
C174,175.64,110.11,Bottom,90.0
C175,164.47,96.52,Bottom,270.0
C176,152.40,103.00,Bottom,90.0
C177,145.29,100.71,Bottom,90.0
C178,143.89,104.39,Bottom,0.0
C179,98.55,116.84,Bottom,270.0
C180,96.27,116.84,Bottom,270.0
C181,92.58,116.84,Bottom,270.0
C182,315.09,78.74,Bottom,90.0
C183,311.79,71.50,Bottom,270.0
