Comment,Designator,Footprint,LCSC Part #
32Kx8SRAM,UC14 UD16,SOJ28,
8Kx8SRAM,UQ11 UQ10 UQ8 UQ7,SOJ28,
100Ω@100MHz,L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15,L1806,
0.01,C2 C3 C4 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C28 C29 C30 C31 C32 C33 C34 C35 C36 C37 C39 C41 C50 C56,C1206,
0.1,C51 C110,C1206
1N914/4148,ATXD1 D2 D3 D4 D5 D6,SOT23,
2N3904,Q1 Q2 Q4 Q5,SOT23-BEC,
2N3906,Q3,SOT23,
10,C27,C/6032-28W,
10,RP8,SOMC16,
10k,R5 R9 R59 R170,R1206,
22,RP6 RP7,SOMC16,
27,R110,R1206,
47uF,C1 C5 C6 C7 C8 C9 C10 C21 C22 C23 C24 C38 C43 C44 C48 C54 C57,C/6032-28W,
47,R51,R1206,
74F244DW,UD13,SO20W,
74F245DW,UF9 UG9 UH9 UI9 UM7 UN7 UO7 UP7 UP8,SO20W,
74F573D,UE13 UL11 UL13 UL16 UL17,SO20W,
74F574D,UD6 UE6,SO20W,
74HC132,UI18 UJ18,SO14,
100,R4 R7 R11,R1206,
100k,R1 R23 R24,R1206,
180,R2 R64,R1206,
220,ATXR1 ATXR2 ATXR3 R13 R14 R15 R19 R20 R21 R22 R35,R1206,
330,R55 R72 R123,R1206,
330k,R48 R49,R1206,
343S0099-A_IIFX_NUBUS_CLK_GEN,UK4,PLCC-28,
344S0064-C_IIFX_SCSI,UC7,QFP-100,
344S0074-A_IIFX_BIU30,UI7,BQFP100,
344S0075-A_IIFX_BIU2,UF7,BQFP100,
344S0076-A_IIFX_OSS,UE8,QFP-100,
344S1021-A_IIFX_PIC,UC12 UC16,QFP-100,
344S1028-A_IIFX_MC,UN10,QFP120,
470,R10 R50 R57,R1206,
1k,R34 R39 R40 R43 R53 R56,R1206,
3.3k,R6 R8 R16 R17 R26 R27 R28 R29 R30 R32 R33 R36 R37 R38 R52 R54 R60 R98 R136 R137,R1206,
4.7k,R3 R18 R25,R1206,
4816P-003 270/470,RP3 RP4 RP5,SOMC16,
1uF,C52,C1825,
0.47uF,C49,C1825,
