Designator,Mid X,Mid Y,Layer,Rotation
ATXD1,360.68,176.53,Top,0.0
ATXR1,17.14,64.14,Top,270.0
ATXR2,38.73,85.73,Top,90.0
ATXR3,38.73,91.44,Top,270.0
C1,142.24,275.59,Top,0.0
C2,130.81,271.78,Top,90.0
C3,134.62,271.78,Top,90.0
C4,135.89,261.75,Top,270.0
C5,142.24,257.81,Top,0.0
C6,232.41,255.27,Top,0.0
C7,349.63,277.50,Top,0.0
C8,347.98,265.43,Top,0.0
C9,367.03,267.46,Top,0.0
C10,370.84,240.03,Top,0.0
C11,22.23,215.65,Top,90.0
C12,22.23,208.92,Top,270.0
C13,45.09,212.73,Top,90.0
C14,45.09,206.38,Top,270.0
C15,67.95,212.73,Top,90.0
C16,67.95,206.38,Top,270.0
C17,90.81,212.73,Top,90.0
C18,90.81,206.38,Top,270.0
C19,113.67,212.73,Top,90.0
C20,113.67,206.38,Top,270.0
C21,305.44,223.77,Top,0.0
C22,144.78,160.02,Top,0.0
C23,203.20,177.80,Top,0.0
C24,356.87,160.02,Top,0.0
C27,349.25,146.05,Top,0.0
C28,22.23,142.88,Top,270.0
C29,22.23,136.53,Top,90.0
C30,45.09,142.88,Top,270.0
C31,45.09,136.53,Top,90.0
C32,67.95,142.88,Top,270.0
C33,67.95,136.53,Top,90.0
C34,90.81,142.88,Top,270.0
C35,90.81,136.53,Top,90.0
C36,113.67,142.88,Top,270.0
C37,113.67,136.53,Top,90.0
C38,213.61,156.21,Top,0.0
C39,65.02,118.49,Top,270.0
C41,109.22,103.51,Top,270.0
C43,164.59,79.88,Top,0.0
C44,353.06,81.28,Top,0.0
C48,67.31,57.79,Top,0.0
C49,78.11,57.79,Top,90.0
C50,88.90,66.04,Top,270.0
C51,69.85,49.53,Top,90.0
C52,105.41,41.91,Top,0.0
C54,196.72,68.83,Top,0.0
C56,289.81,46.23,Top,90.0
C57,96.52,33.02,Top,0.0
C110,332.74,38.10,Top,90.0
D2,360.68,186.69,Top,180.0
D3,360.68,191.77,Top,180.0
D4,356.87,137.16,Top,180.0
D5,374.65,127.00,Top,0.0
D6,374.65,121.29,Top,0.0
L1,340.36,279.40,Top,0.0
L2,346.71,285.75,Top,90.0
L3,142.24,270.51,Top,180.0
L4,142.24,265.43,Top,180.0
L5,219.71,255.27,Top,180.0
L6,314.96,256.03,Top,0.0
L7,162.56,240.03,Top,180.0
L8,253.11,198.12,Top,0.0
L9,64.52,123.83,Top,0.0
L10,101.60,102.87,Top,270.0
L11,157.23,115.57,Top,90.0
L12,157.23,98.68,Top,270.0
L13,157.23,91.06,Top,90.0
L14,59.05,57.79,Top,90.0
L15,284.48,44.45,Top,180.0
Q1,350.52,270.51,Top,90.0
Q2,356.87,146.05,Top,180.0
Q3,363.09,130.81,Top,0.0
Q4,245.11,52.07,Top,180.0
Q5,248.92,52.07,Top,180.0
R1,242.57,257.81,Top,270.0
R2,351.79,281.94,Top,270.0
R3,355.60,271.78,Top,270.0
R4,359.41,271.78,Top,90.0
R5,367.03,262.89,Top,180.0
R6,372.11,235.46,Top,0.0
R7,376.68,233.93,Top,270.0
R8,370.97,246.25,Top,0.0
R9,339.09,251.46,Top,0.0
R10,136.53,211.46,Top,90.0
R11,365.25,217.42,Top,180.0
R13,200.66,203.20,Top,90.0
R14,204.47,198.12,Top,270.0
R15,200.66,198.12,Top,270.0
R16,214.25,196.47,Top,0.0
R17,263.02,195.20,Top,0.0
R18,360.68,181.61,Top,180.0
R19,45.09,154.31,Top,90.0
R20,52.71,151.77,Top,90.0
R21,67.95,151.77,Top,90.0
R22,75.56,154.31,Top,90.0
R23,372.24,146.69,Top,0.0
R24,361.95,153.67,Top,180.0
R25,361.95,151.13,Top,180.0
R26,29.85,139.19,Top,270.0
R27,52.71,139.06,Top,270.0
R28,75.56,139.06,Top,270.0
R29,98.43,139.06,Top,270.0
R30,121.29,139.06,Top,270.0
R32,120.65,110.36,Top,180.0
R33,120.65,112.52,Top,180.0
R34,361.95,138.43,Top,0.0
R35,361.95,135.89,Top,0.0
R36,71.76,109.86,Top,270.0
R37,93.98,103.25,Top,270.0
R38,97.16,103.25,Top,90.0
R39,120.65,98.04,Top,0.0
R40,120.65,95.63,Top,0.0
R43,340.36,76.96,Top,270.0
R48,76.20,49.53,Top,90.0
R49,81.28,49.53,Top,270.0
R50,252.98,50.93,Top,0.0
R51,256.29,43.69,Top,180.0
R52,283.21,51.82,Top,0.0
R53,300.48,47.50,Top,270.0
R54,346.20,68.07,Top,90.0
R55,294.64,88.27,Top,0.0
R56,306.20,52.96,Top,90.0
R57,145.42,22.86,Top,90.0
R59,163.83,30.48,Top,0.0
R60,120.65,102.87,Top,180.0
R64,337.82,262.89,Top,0.0
R72,171.45,247.65,Top,0.0
R98,26.67,139.19,Top,90.0
R110,361.95,144.78,Top,180.0
R123,120.65,100.46,Top,0.0
R136,120.65,91.44,Top,180.0
R137,120.65,88.90,Top,180.0
R170,367.03,259.08,Top,0.0
RP3,26.04,199.39,Top,180.0
RP4,26.04,177.80,Top,180.0
RP5,26.04,164.47,Top,180.0
RP6,221.62,102.23,Top,90.0
RP7,233.68,102.23,Top,90.0
RP8,245.75,102.23,Top,90.0
UC14,299.72,241.30,Top,270.0
UD6,163.20,226.06,Top,90.0
UD13,289.56,217.17,Top,270.0
UD16,330.84,220.34,Top,180.0
UE6,163.20,212.09,Top,90.0
UE13,289.56,203.20,Top,270.0
UF9,227.97,191.14,Top,90.0
UG9,227.97,177.17,Top,90.0
UH9,227.97,163.20,Top,90.0
